期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024046,4,"[2, 6, 10, 11, 17, 29]",15,75,9,"[7, 1, 1]","[4, 1, 2]","[6, 1, 6, 5, 3, 1]","[3, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7]","[2, 0, 1, 2, 2, 2]"
2024047,7,"[7, 8, 21, 26, 29, 30]",15,121,8,"[3, 1, 5]","[1, 5, 1]","[6, 4, 4, 3, 3, 3]","[1, 1, 1]","[1, 3, 4, 5, 6]","[1, 2, 0, 2, 2, 0]"
2024048,2,"[2, 9, 15, 19, 26, 28]",2,99,7,"[6, 7, 4]","[7, 4, 2]","[8, 0, 5, 4, 2, 2]","[3, 4, 3]","[0, 2, 3, 4, 5, 6, 7, 8]","[2, 0, 0, 1, 2, 1]"
2024049,4,"[12, 15, 17, 23, 26, 32]",11,125,6,"[0, 1, 6]","[3, 6, 6]","[9, 7, 6, 4, 3, 2]","[5, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0, 0, 2, 2, 2, 2]"
2024050,7,"[1, 3, 7, 10, 22, 33]",2,76,10,"[2, 9, 3]","[2, 3, 1]","[5, 4, 9, 6, 2, 1]","[4, 1, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 0, 1, 1, 1, 0]"
2024051,2,"[5, 9, 13, 20, 23, 28]",6,98,7,"[3, 4, 7]","[4, 7, 5]","[8, 9, 6, 3, 3, 2]","[2, 3, 2]","[2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 1, 2, 2, 1]"
2024052,4,"[7, 10, 11, 15, 17, 21]",3,81,6,"[4, 7, 4]","[3, 4, 4]","[0, 7, 6, 4, 3, 2]","[3, 1, 1]","[0, 1, 2, 3, 4, 6, 7]","[1, 1, 2, 0, 2, 0]"
2024053,7,"[7, 14, 21, 22, 28, 33]",7,125,7,"[6, 4, 1]","[7, 1, 5]","[6, 7, 4, 4, 3, 2]","[5, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]","[1, 2, 0, 1, 1, 0]"
2024054,2,"[8, 13, 20, 25, 31, 32]",3,129,6,"[4, 8, 5]","[5, 5, 1]","[5, 8, 5, 4, 3, 3]","[3, 4, 1]","[1, 3, 4, 5, 8]","[2, 1, 2, 1, 1, 2]"
2024055,4,"[2, 4, 6, 7, 16, 29]",3,64,9,"[7, 2, 1]","[2, 1, 3]","[1, 5, 9, 8, 3, 1]","[4, 4, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[2, 1, 0, 1, 1, 2]"
